#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf60.16.100
#tb 0: 1/24
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 1280x720
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,        171,        171,        1,  1382400, fa4c79be91ef67b549b6acd35a61989c
0,        172,        172,        1,  1382400, 88161beefe0252779405544154d48fd8
0,        173,        173,        1,  1382400, 452b475ed2a4a7a383343684d49b4084
0,        174,        174,        1,  1382400, c0399b3a571c2269018863a16d627c16
0,        175,        175,        1,  1382400, c9aa6e27a8d978a8df4e4d2ea779b71a
0,        176,        176,        1,  1382400, dea6cda61ac9ae5d6fb6864fb43008b7
0,        177,        177,        1,  1382400, cad69e4b8c0891c0ae084f6b066c940d
0,        178,        178,        1,  1382400, 8d1037b986105ad739f3aaeb25020118
0,        179,        179,        1,  1382400, a9f02f925e7d5aedf0cd55bb42f7367e
0,        180,        180,        1,  1382400, 1527e889dc8609fa6d03f6a32d2d8b11
0,        181,        181,        1,  1382400, 23f699c59b8e2f7487054d2dd4e2edfc
0,        182,        182,        1,  1382400, 1d98a54d9a8e2075885ba3b0c2fc40b5
0,        183,        183,        1,  1382400, 2d6310993f9ef4a2ead4901482980616
0,        184,        184,        1,  1382400, 5c4f717062626dd647fcf178612fdc71
0,        185,        185,        1,  1382400, 5a42b7ab14c12b11daa56e39a73d8a4d
0,        186,        186,        1,  1382400, 7a9129eee8a6217f7bb10a8c0a60df2e
0,        187,        187,        1,  1382400, 7a7e5de471671310513a8370f3b4cce9
0,        188,        188,        1,  1382400, b311fd8b5bcf6ce2012465d30228f70f
0,        189,        189,        1,  1382400, 5e1a834f657127b1357715495cb64e41
0,        190,        190,        1,  1382400, 408c749974c7b42f4b56e47c28b459f3
0,        191,        191,        1,  1382400, 5fd5057c98534b85161ab9845ce09f8b
